code3,n_eid,total_weight,per_code_weight
N39,4097,13110.400000000001,3.2
Z87,6768,11505.6,1.7
M19,4931,7889.6,1.6
Z50,3539,7431.900000000001,2.1
R31,2477,7431.0,3.0
R29,2058,7408.8,3.6
E87,2866,6591.799999999999,2.3
K59,3448,6551.2,1.9
M25,2847,6548.099999999999,2.3
B96,2087,6052.3,2.9
W19,1651,5283.200000000001,3.2
N17,2725,5177.5,1.9
R69,3104,4656.0,1.5
R55,2178,4356.0,2.0
J18,3203,4163.900000000001,1.3
M79,2973,4162.2,1.4
R26,1568,4076.8,2.6
I95,2133,3839.4,1.8
N18,2464,3696.0,1.5
R41,1340,3618.0000000000005,2.7
M81,2131,3409.6000000000004,1.6
F00,473,3358.2999999999997,7.1
L03,1675,3350.0,2.0
I67,1244,3234.4,2.6
E86,1389,3194.7,2.3
R33,2125,3187.5,1.5
A41,1722,3099.6,1.8
F05,929,2972.8,3.2
A09,2138,2779.4,1.3
R63,2144,2572.7999999999997,1.2
