OR,LCI,UCI,P,N,n_event,outcome,model
1.3991410716018247,1.167478644218567,1.6767722030182295,0.00027617706404491126,44642,83,Prevalent hip fracture,Base
1.2138666101427524,1.1450438360541058,1.2868259719183641,7.606276148870777e-11,44642,1025,Prevalent falls,Base
,,,,44642,7,Prevalent delirium,Base
,,,,44642,22,Prevalent pressure ulcer,Base
1.2292754109642976,1.1617155106581105,1.3007642767422432,8.216054110653516e-13,44642,1082,Any prevalent frailty syndrome,Base
2.1378201052206114,1.6587684489742196,2.755221685770379,4.3686460546897615e-09,34248,60,Prevalent hip fracture,+Clinical
1.3363843365366137,1.2283964926052948,1.4538653485998299,1.528254867366238e-11,34248,760,Prevalent falls,+Clinical
,,,,34248,5,Prevalent delirium,+Clinical
,,,,34248,15,Prevalent pressure ulcer,+Clinical
1.361045309864321,1.2540531971277262,1.4771656734710215,1.5887972920202316e-13,34248,799,Any prevalent frailty syndrome,+Clinical
2.248845201590095,1.7057786152707364,2.96480721204968,9.089130905618656e-09,33527,60,Prevalent hip fracture,+Biomarkers
1.285577031427079,1.1775765254746027,1.4034827189398702,2.010728489014215e-08,33527,744,Prevalent falls,+Biomarkers
,,,,33527,5,Prevalent delirium,+Biomarkers
,,,,33527,14,Prevalent pressure ulcer,+Biomarkers
,,,,33527,782,Any prevalent frailty syndrome,+Biomarkers
